graph,n_nodes,n_edges,LBComputeMethod.MATCH,LBComputeMethod.MATCH_time,LBComputeMethod.CLIQUE,LBComputeMethod.CLIQUE_time,LBComputeMethod.INDEPENDENT_EDGES,LBComputeMethod.INDEPENDENT_EDGES_time,UBComputeMethod.NUMBER,UBComputeMethod.NUMBER_time,UBComputeMethod.VERTEX,UBComputeMethod.VERTEX_time
erdos_renyi_100_8_1.txt,100,402,7.0,0.0044248104095458984,7.0,0.004302263259887695,7.0,0.004277467727661133,95.0,2.86102294921875e-05,95.0,4.5299530029296875e-06
erdos_renyi_80_6_1.txt,80,163,10.0,0.0037992000579833984,10.0,0.003935813903808594,10.0,0.0037984848022460938,75.0,1.1682510375976562e-05,75.0,4.0531158447265625e-06
erdos_renyi_80_6_4.txt,80,211,8.0,0.0026311874389648438,8.0,0.0025854110717773438,8.0,0.0026166439056396484,75.0,9.059906005859375e-06,75.0,4.5299530029296875e-06
lesmis76.gml,77,254,5.0,0.004080772399902344,5.0,0.0036492347717285156,5.0,0.0036232471466064453,72.0,1.5020370483398438e-05,72.0,4.5299530029296875e-06
jazz-musicians.txt,198,2742,4.0,0.02211451530456543,4.0,0.022556543350219727,4.0,0.021674156188964844,192.0,1.4066696166992188e-05,192.0,3.814697265625e-06
ieee57.txt,57,78,11.0,0.0013773441314697266,11.0,0.0013191699981689453,11.0,0.0012805461883544922,53.0,7.867813110351562e-06,53.0,3.814697265625e-06
watts_strogatz_150_30_1_3.txt,150,2250,3.0,0.010280132293701172,3.0,0.009178638458251953,3.0,0.009180784225463867,144.0,7.152557373046875e-06,144.0,3.337860107421875e-06
watts_strogatz_100_20_1_4.txt,100,1000,3.0,0.003916501998901367,3.0,0.0038962364196777344,3.0,0.003914594650268555,95.0,7.3909759521484375e-06,95.0,3.5762786865234375e-06
ieee300.txt,300,409,44.0,0.02455615997314453,44.0,0.024488449096679688,44.0,0.029529094696044922,293.0,1.5497207641601562e-05,293.0,4.291534423828125e-06
erdos_renyi_100_4_2.txt,100,208,13.0,0.005015850067138672,13.0,0.004937648773193359,13.0,0.0048749446868896484,95.0,1.049041748046875e-05,95.0,4.0531158447265625e-06
watts_strogatz_100_10_1_2.txt,100,500,5.0,0.003248453140258789,5.0,0.003184080123901367,5.0,0.0031833648681640625,95.0,8.58306884765625e-06,95.0,4.0531158447265625e-06
watts_strogatz_150_30_1_1.txt,150,2250,3.0,0.01086878776550293,3.0,0.01065683364868164,3.0,0.010681390762329102,144.0,1.5020370483398438e-05,144.0,4.291534423828125e-06
football114.gml,115,613,6.0,0.015381813049316406,6.0,0.014886856079101562,6.0,0.014520645141601562,110.0,1.3828277587890625e-05,110.0,4.0531158447265625e-06
watts_strogatz_150_30_1_4.txt,150,2250,3.0,0.009455680847167969,3.0,0.008513689041137695,3.0,0.008594751358032227,144.0,8.821487426757812e-06,144.0,3.337860107421875e-06
watts_strogatz_100_20_1_1.txt,100,1000,3.0,0.004230499267578125,3.0,0.00425410270690918,3.0,0.004262685775756836,95.0,7.62939453125e-06,95.0,3.337860107421875e-06
watts_strogatz_100_10_1_3.txt,100,500,5.0,0.002763509750366211,5.0,0.0027437210083007812,5.0,0.002753734588623047,95.0,6.4373016357421875e-06,95.0,3.337860107421875e-06
rado-emails.txt,167,3251,2.0,0.03997516632080078,2.0,0.043822288513183594,2.0,0.039856672286987305,161.0,1.33514404296875e-05,161.0,3.337860107421875e-06
erdos_renyi_100_8_2.txt,100,378,7.0,0.004471778869628906,7.0,0.004452228546142578,7.0,0.004417896270751953,95.0,9.298324584960938e-06,95.0,3.5762786865234375e-06
erdos_renyi_100_8_3.txt,100,409,7.0,0.003971099853515625,7.0,0.0038962364196777344,7.0,0.0038900375366210938,95.0,8.58306884765625e-06,95.0,3.337860107421875e-06
ieee118.txt,118,179,19.0,0.006114482879638672,19.0,0.006121397018432617,19.0,0.00619053840637207,113.0,6.9141387939453125e-06,113.0,3.337860107421875e-06
erdos_renyi_100_4_4.txt,100,218,12.0,0.002680063247680664,12.0,0.002657175064086914,12.0,0.002684354782104492,95.0,5.9604644775390625e-06,95.0,3.337860107421875e-06
erdos_renyi_100_8_4.txt,100,408,7.0,0.0031299591064453125,7.0,0.0031273365020751953,7.0,0.003130674362182617,95.0,5.9604644775390625e-06,95.0,3.5762786865234375e-06
surfers.txt,43,336,2.0,0.003013134002685547,2.0,0.002954244613647461,2.0,0.0029430389404296875,39.0,6.4373016357421875e-06,39.0,3.0994415283203125e-06
watts_strogatz_100_20_1_0.txt,100,1000,3.0,0.003958463668823242,3.0,0.003950834274291992,3.0,0.0037806034088134766,95.0,5.9604644775390625e-06,95.0,3.5762786865234375e-06
erdos_renyi_100_4_3.txt,100,200,13.0,0.0043375492095947266,13.0,0.004427194595336914,13.0,0.004481792449951172,95.0,6.4373016357421875e-06,95.0,3.5762786865234375e-06
erdos_renyi_100_4_1.txt,100,206,13.0,0.0029556751251220703,13.0,0.0029153823852539062,13.0,0.002946138381958008,95.0,6.4373016357421875e-06,95.0,3.5762786865234375e-06
erdos_renyi_100_8_0.txt,100,378,7.0,0.003926515579223633,7.0,0.003970146179199219,7.0,0.003914356231689453,95.0,6.9141387939453125e-06,95.0,3.337860107421875e-06
erdos_renyi_80_6_3.txt,80,191,9.0,0.0026674270629882812,9.0,0.0026547908782958984,9.0,0.0026535987854003906,75.0,6.4373016357421875e-06,75.0,3.337860107421875e-06
ieee30.txt,30,41,6.0,0.00049591064453125,6.0,0.0004799365997314453,6.0,0.00047326087951660156,27.0,6.198883056640625e-06,27.0,3.337860107421875e-06
erdos_renyi_80_6_2.txt,80,199,9.0,0.0034248828887939453,9.0,0.003443479537963867,9.0,0.003856658935546875,75.0,1.3828277587890625e-05,75.0,4.0531158447265625e-06
watts_strogatz_150_30_1_0.txt,150,2250,3.0,0.011270761489868164,3.0,0.011049032211303711,3.0,0.010545730590820312,144.0,1.2636184692382812e-05,144.0,4.0531158447265625e-06
erdos_renyi_80_3_4.txt,80,115,12.0,0.0023050308227539062,12.0,0.002238750457763672,12.0,0.002215862274169922,75.0,1.5974044799804688e-05,75.0,3.814697265625e-06
watts_strogatz_100_10_1_0.txt,100,500,5.0,0.002949237823486328,5.0,0.002811908721923828,5.0,0.002744436264038086,95.0,6.67572021484375e-06,95.0,3.5762786865234375e-06
erdos_renyi_100_4_0.txt,100,185,13.0,0.005018949508666992,13.0,0.0066814422607421875,13.0,0.005010843276977539,95.0,7.62939453125e-06,95.0,3.5762786865234375e-06
erdos_renyi_80_6_0.txt,80,189,9.0,0.0027513504028320312,9.0,0.002745389938354492,9.0,0.003937959671020508,75.0,1.1444091796875e-05,75.0,5.245208740234375e-06
watts_strogatz_100_10_1_4.txt,100,500,5.0,0.0034852027893066406,5.0,0.0028553009033203125,5.0,0.00286102294921875,95.0,6.9141387939453125e-06,95.0,3.337860107421875e-06
erdos_renyi_80_3_1.txt,80,121,14.0,0.001653432846069336,14.0,0.0016429424285888672,14.0,0.0016324520111083984,75.0,6.198883056640625e-06,75.0,3.337860107421875e-06
watts_strogatz_100_20_1_3.txt,100,1000,3.0,0.004080295562744141,3.0,0.004087686538696289,3.0,0.0040438175201416016,95.0,1.1682510375976562e-05,95.0,3.5762786865234375e-06
karate34.gml,34,78,3.0,0.0009808540344238281,3.0,0.0009677410125732422,3.0,0.0009834766387939453,30.0,7.3909759521484375e-06,30.0,3.5762786865234375e-06
dolphins62.gml,62,159,6.0,0.0013725757598876953,6.0,0.0013608932495117188,6.0,0.001341104507446289,58.0,6.9141387939453125e-06,58.0,3.5762786865234375e-06
watts_strogatz_150_30_1_2.txt,150,2250,3.0,0.009160518646240234,3.0,0.008950233459472656,3.0,0.009084224700927734,144.0,8.58306884765625e-06,144.0,3.5762786865234375e-06
erdos_renyi_80_3_0.txt,80,124,13.0,0.0016243457794189453,13.0,0.001615762710571289,13.0,0.0016133785247802734,75.0,7.152557373046875e-06,75.0,3.337860107421875e-06
erdos_renyi_80_3_3.txt,80,115,13.0,0.0019292831420898438,13.0,0.0019276142120361328,13.0,0.0019311904907226562,75.0,5.9604644775390625e-06,75.0,3.0994415283203125e-06
adjnoun111.gml,112,425,7.0,0.0069653987884521484,7.0,0.006859540939331055,7.0,0.007077932357788086,107.0,1.2874603271484375e-05,107.0,3.5762786865234375e-06
watts_strogatz_100_10_1_1.txt,100,500,5.0,0.0027561187744140625,5.0,0.0027561187744140625,5.0,0.002756357192993164,95.0,6.4373016357421875e-06,95.0,3.5762786865234375e-06
watts_strogatz_100_20_1_2.txt,100,1000,3.0,0.003958940505981445,3.0,0.003980398178100586,3.0,0.003941059112548828,95.0,6.4373016357421875e-06,95.0,3.337860107421875e-06
erdos_renyi_80_3_2.txt,80,124,11.0,0.002214193344116211,11.0,0.002213001251220703,11.0,0.002148151397705078,75.0,6.4373016357421875e-06,75.0,3.337860107421875e-06
