graph,n_nodes,n_edges,LBComputeMethod.MATCH,LBComputeMethod.MATCH_time,LBComputeMethod.CLIQUE,LBComputeMethod.CLIQUE_time,LBComputeMethod.INDEPENDENT_EDGES,LBComputeMethod.INDEPENDENT_EDGES_time,LBComputeMethod.MAXIMAL_INDEPENDENT_SET,LBComputeMethod.MAXIMAL_INDEPENDENT_SET_time
adjnoun111,112,425,7.0,0.00500035285949707,3.0,0.10109162330627441,54.0,0.11251711845397949,30.0,3289.880704164505
dolphins62,62,159,6.0,0.0010001659393310547,3.0,0.025174379348754883,29.0,0.03353238105773926,19.0,0.8746428489685059
football114,115,613,6.0,0.008071660995483398,4.0,0.0875396728515625,57.0,0.4866805076599121,30.0,2057.5959537029266
ieee118,118,179,19.0,0.007009029388427734,2.0,0.15702104568481445,56.0,0.020999908447265625,30.0,3139.4678852558136
ieee30,30,41,6.0,0.0,2.0,0.0049130916595458984,14.0,0.0020003318786621094,12.0,0.005000591278076172
ieee300,300,409,44.0,0.014501571655273438,2.0,1.527219295501709,130.0,0.05700492858886719,30.0,2787.7279822826385
ieee57,57,78,11.0,0.0010464191436767578,2.0,0.01800394058227539,28.0,0.0060002803802490234,22.0,8.426244974136353
jazz-musicians,198,2742,4.0,0.011503934860229492,5.0,0.4471871852874756,72.0,162.78003931045532,30.0,1313.896368265152
karate34,34,78,3.0,0.0010066032409667969,3.0,0.0065724849700927734,12.0,0.006988048553466797,8.0,0.0010080337524414062
lesmis76,77,254,5.0,0.0020008087158203125,4.0,0.03209400177001953,24.0,0.062456369400024414,21.0,1.2940824031829834
rado-emails,167,3251,2.0,0.03899192810058594,5.0,0.45987486839294434,70.0,1878.1248354911804,25.0,125.04042482376099
simple_5_7,5,7,1.0,0.0,2.0,0.0010023117065429688,2.0,0.000993967056274414,2.0,0.0
surfers,43,336,2.0,0.002991914749145508,4.0,0.024060726165771484,16.0,1.1591193675994873,11.0,0.006002187728881836
