graph,n_nodes,n_edges,UBComputeMethod.NUMBER,UBComputeMethod.NUMBER_time,UBComputeMethod.VERTEX,UBComputeMethod.VERTEX_time
adjnoun111,112,425,107.0,0.0,59.0,0.01399993896484375
dolphins62,62,159,58.0,0.0,34.0,0.002954721450805664
football114,115,613,110.0,0.0,94.0,0.007955074310302734
ieee118,118,179,113.0,0.0,61.0,0.002077817916870117
ieee30,30,41,27.0,0.0,16.0,0.0009555816650390625
ieee300,300,409,293.0,0.0,136.0,0.016808509826660156
ieee57,57,78,53.0,0.0,30.0,0.0019989013671875
jazz-musicians,198,2742,192.0,0.0,158.0,0.022008657455444336
karate34,34,78,30.0,0.0,14.0,0.0020017623901367188
lesmis76,77,254,72.0,0.0,42.0,0.0030930042266845703
rado-emails,167,3251,161.0,0.0,106.0,0.038105010986328125
simple_5_7,5,7,4.0,0.0,3.0,0.0
surfers,43,336,39.0,0.0,32.0,0.00499725341796875
